epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.243,1.50983,4.98127,0.90713,0.33249,0.13164,0.10193,0.07637,1.17176,1.6086,0.84944,7.09114e-05,7.09114e-05,7.09114e-05
2,227.34,1.32376,2.79639,0.86914,0.31554,0.43812,0.37513,0.28766,1.07455,1.11704,0.83953,0.000141047,0.000141047,0.000141047
3,329.879,1.21092,1.95078,0.85899,0.47921,0.54566,0.5234,0.40809,1.02317,1.006,0.83341,0.000207753,0.000207753,0.000207753
4,438.541,1.16067,1.52735,0.85578,0.64416,0.62484,0.67209,0.52001,1.00101,0.85589,0.8342,0.000201508,0.000201508,0.000201508
5,539.508,1.10348,1.24385,0.8474,0.69858,0.68644,0.75312,0.59482,0.97256,0.77209,0.8259,0.000192864,0.000192864,0.000192864
6,637.742,1.08055,1.08986,0.84491,0.7999,0.73275,0.82467,0.65879,0.94023,0.7133,0.82198,0.000182119,0.000182119,0.000182119
7,737.44,1.03482,0.96116,0.83954,0.85921,0.78502,0.87595,0.70057,0.92917,0.6445,0.82073,0.000169538,0.000169538,0.000169538
8,835.106,1.01187,0.8763,0.83668,0.87909,0.8045,0.89957,0.71554,0.90096,0.62662,0.81626,0.000155431,0.000155431,0.000155431
9,932.558,0.98293,0.81024,0.83286,0.91034,0.84438,0.92053,0.73227,0.893,0.58165,0.81447,0.000140146,0.000140146,0.000140146
10,1029.9,0.9714,0.76436,0.83268,0.92904,0.86324,0.94599,0.76649,0.85667,0.54819,0.81106,0.000124059,0.000124059,0.000124059
11,1144.15,0.92944,0.71861,0.82909,0.93074,0.89174,0.95652,0.77401,0.86433,0.54056,0.81107,0.000107565,0.000107565,0.000107565
12,1232.3,0.90111,0.65995,0.82606,0.94841,0.88924,0.96292,0.79126,0.83882,0.52345,0.80927,9.10713e-05,9.10713e-05,9.10713e-05
13,1322.53,0.87466,0.61766,0.82151,0.94867,0.90649,0.96633,0.79878,0.82759,0.50566,0.80695,7.49838e-05,7.49838e-05,7.49838e-05
14,1417.54,0.8581,0.59229,0.81924,0.93436,0.91638,0.96876,0.80503,0.81155,0.495,0.80547,5.96985e-05,5.96985e-05,5.96985e-05
15,1506.58,0.83941,0.5705,0.81932,0.93557,0.93657,0.97149,0.81353,0.80649,0.4803,0.80392,4.55919e-05,4.55919e-05,4.55919e-05
16,1604.56,0.83252,0.5639,0.81585,0.96118,0.91573,0.97336,0.81769,0.79392,0.47255,0.80304,3.30112e-05,3.30112e-05,3.30112e-05
17,1705.61,0.81167,0.54674,0.81611,0.96439,0.91482,0.97366,0.81662,0.78157,0.46257,0.8016,2.22663e-05,2.22663e-05,2.22663e-05
18,1804.75,0.80512,0.53713,0.81294,0.96115,0.91786,0.9751,0.82152,0.77466,0.45916,0.80082,1.36217e-05,1.36217e-05,1.36217e-05
19,1905.45,0.80024,0.52845,0.81175,0.95886,0.92708,0.97569,0.82195,0.77111,0.45705,0.80034,7.29036e-06,7.29036e-06,7.29036e-06
20,2005.98,0.79863,0.52963,0.8108,0.96043,0.92441,0.97521,0.82447,0.77087,0.45412,0.80019,3.42808e-06,3.42808e-06,3.42808e-06
