epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.281,0.69237,2.7246,1.00727,0.37885,0.53312,0.43146,0.35688,0.74099,1.69077,0.9817,0.00017454,0.00017454,0.00017454
2,43.2315,0.6966,1.99434,0.99508,0.50472,0.48372,0.49807,0.41177,0.73157,1.54715,0.97044,0.000347722,0.000347722,0.000347722
3,64.1319,0.70572,1.76441,1.00094,0.61227,0.61716,0.5995,0.49951,0.72551,1.31593,0.97256,0.000512367,0.000512367,0.000512367
4,84.5581,0.70502,1.60837,0.99794,0.63952,0.57442,0.6363,0.52318,0.7327,1.22116,0.971,0.000497363,0.000497363,0.000497363
5,107.666,0.68674,1.4331,0.98478,0.73219,0.69681,0.73218,0.61312,0.69486,0.95895,0.94598,0.000475822,0.000475822,0.000475822
6,129.78,0.66745,1.31328,0.9771,0.75653,0.68816,0.75109,0.62957,0.68667,0.91534,0.94013,0.000449046,0.000449046,0.000449046
7,152.768,0.64535,1.22035,0.975,0.8091,0.72291,0.79919,0.67288,0.67074,0.88925,0.93694,0.000417696,0.000417696,0.000417696
8,173.269,0.63258,1.13862,0.96837,0.85111,0.72404,0.82125,0.6976,0.65741,0.74656,0.92275,0.000382543,0.000382543,0.000382543
9,190.799,0.63117,1.05856,0.96099,0.87347,0.75757,0.83121,0.71149,0.64957,0.69255,0.91826,0.000344453,0.000344453,0.000344453
10,208.209,0.59682,0.9862,0.95442,0.89257,0.74717,0.84399,0.71795,0.64817,0.64991,0.92209,0.000304364,0.000304364,0.000304364
11,243.334,0.57946,0.76779,0.90792,0.88426,0.7756,0.86129,0.73324,0.65352,0.62142,0.91735,0.000263263,0.000263263,0.000263263
12,260.193,0.5674,0.6944,0.9008,0.93244,0.79533,0.87523,0.74381,0.63819,0.56371,0.91292,0.000222162,0.000222162,0.000222162
13,277.603,0.55753,0.61884,0.89595,0.92598,0.79538,0.87956,0.7518,0.63789,0.52844,0.90895,0.000182073,0.000182073,0.000182073
14,294.107,0.54029,0.5918,0.88949,0.93178,0.81439,0.89068,0.76542,0.61739,0.51398,0.90162,0.000143983,0.000143983,0.000143983
15,310.529,0.52339,0.54938,0.88592,0.94015,0.8074,0.89991,0.77198,0.60657,0.49559,0.89972,0.00010883,0.00010883,0.00010883
16,326.865,0.51885,0.51949,0.87985,0.91846,0.82896,0.90393,0.77949,0.59666,0.47589,0.89537,7.74799e-05,7.74799e-05,7.74799e-05
17,343.147,0.50954,0.50346,0.87218,0.93888,0.82032,0.906,0.78474,0.5887,0.45794,0.89178,5.07043e-05,5.07043e-05,5.07043e-05
18,359.526,0.49684,0.48083,0.87486,0.91478,0.84776,0.91072,0.78785,0.57961,0.45096,0.88801,2.91626e-05,2.91626e-05,2.91626e-05
19,375.811,0.49445,0.47812,0.87354,0.92359,0.84067,0.91085,0.79138,0.57494,0.44525,0.88604,1.33853e-05,1.33853e-05,1.33853e-05
20,392.069,0.49426,0.46356,0.86489,0.92875,0.83467,0.91204,0.79176,0.57481,0.44386,0.88648,3.76073e-06,3.76073e-06,3.76073e-06
